<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>,<OI>
CC_VNINDEX,20200814,169343,4714577000000,232548118000,151012,492880490,579345270
CC_HNX-INDEX,20200814,19632,539256678300,2573401245800,16796,99549800,95141800
CC_VNINDEX,20200813,142205,3894641060000,392997003200,133302,476286400,470871570
CC_HNX-INDEX,20200813,16706,415024131200,574006140000,15269,85911500,84088700
CC_VNINDEX,20200812,148777,3822270000000,531011178700,123481,458982800,473416850
CC_HNX-INDEX,20200812,17427,455390349500,124122849300,15195,77035100,76912600
CC_VNINDEX,20200811,143741,3583929000000,490420389350,127732,453671590,482439590
CC_HNX-INDEX,20200811,18238,680951431600,161645884100,16196,92708400,84535300
CC_VNINDEX,20200810,153758,4287134580000,461271530000,136837,521451660,502950450
CC_HNX-INDEX,20200810,16919,423982116700,171184202200,14069,87584200,80887600
CC_VNINDEX,20200807,148004,3658406000000,584938785410,124339,459089710,462834410
CC_HNX-INDEX,20200807,14629,317596576200,54878734300,13010,68980300,68600600
CC_VNINDEX,20200806,156133,3654340910000,415214321450,127985,467957730,477518670
CC_HNX-INDEX,20200806,17564,392008103100,12315410700,15451,81602400,78922800
CC_VNINDEX,20200805,165690,4354012000000,909688865100,141087,538169060,520699810
CC_HNX-INDEX,20200805,14767,457288927300,125989819500,15073,86419600,78702400
CC_VNINDEX,20200804,145466,3470784560000,649169356850,122310,487275310,461557530
CC_HNX-INDEX,20200804,14569,401462660600,79200701700,14520,83229200,72777200
CC_VNINDEX,20200803,146843,3493959050000,1109832920050,113634,515407540,388796430
CC_HNX-INDEX,20200803,16698,400962148700,78746180200,13414,89655600,66913700
CC_VNINDEX,20200731,151750,3169641000000,582578180920,95440,456624980,400826320
CC_HNX-INDEX,20200731,14259,273371906400,101575982000,10125,72682200,58732000
CC_VNINDEX,20200730,112982,2520791700000,523928083950,95495,350765440,342125500
CC_HNX-INDEX,20200730,12662,274531472600,8954933200,10648,69881400,56792100
CC_VNINDEX,20200729,181457,4532748400000,664731818350,108592,490163000,561064120
CC_HNX-INDEX,20200729,16871,482360604300,8386469900,12980,83327400,84198600
CC_VNINDEX,20200728,189582,4499988330000,376737680700,123077,672462900,518224490
CC_HNX-INDEX,20200728,0,396689820000,42864324000,0,0,0
CC_VNINDEX,20200727,178955,5971575700000,952486252600,162928,510269220,761957980
CC_HNX-INDEX,20200727,16571,612613921700,17720579100,15831,74211700,103533800
CC_VNINDEX,20200724,228972,6813113000000,600611015220,165217,658244890,780783720
CC_HNX-INDEX,20200724,0,634934834100,15373532700,0,0,0
CC_VNINDEX,20200723,143609,3353725000000,398385590700,115186,405013560,446967190
CC_HNX-INDEX,20200723,14614,354123585000,95296840200,12574,68054700,73876300
CC_VNINDEX,20200722,134850,3351942090000,910363864800,117964,365784640,452441360
CC_HNX-INDEX,20200722,12693,329902168100,84373208800,13569,62018400,75726000
CC_VNINDEX,20200721,147077,3767881000000,737679554500,114162,430177250,446077870
CC_HNX-INDEX,20200721,14583,337027657700,59020994000,13714,62222100,71919800
CC_VNINDEX,20200720,153255,3815990000000,754760351840,127474,423717120,527065040
CC_HNX-INDEX,20200720,13370,364541300400,158572761100,13813,62644500,78420600
CC_VNINDEX,20200717,149683,3756282400000,440081619600,132636,444075440,514855220
CC_HNX-INDEX,20200717,15173,488301284800,28082084400,16490,72037600,88799900
CC_VNINDEX,20200716,133210,3725466810000,474290049860,121367,405514060,482087350
CC_HNX-INDEX,20200716,14670,363283987800,23744790400,15225,69072800,78221300
CC_VNINDEX,20200715,129301,3524059000000,817322842600,137015,394732680,499409210
CC_HNX-INDEX,20200715,13416,309311489000,52694983800,14727,69409300,75689100
CC_VNINDEX,20200714,137806,3130650000000,659719945820,106719,417188710,403261980
CC_HNX-INDEX,20200714,13734,316505105100,51433844900,12978,68398700,78434500
CC_VNINDEX,20200713,131159,3480085000000,678357812310,124223,365398500,454853750
CC_HNX-INDEX,20200713,12830,292051608800,78461647830,13898,88883700,76534700
CC_VNINDEX,20200710,152856,3775641000000,982282944750,134147,458633160,563822600
CC_HNX-INDEX,20200710,14905,328176945000,132010630400,14879,90090100,83019300
CC_VNINDEX,20200709,145870,4115465000000,1026501805230,139206,564789710,496462190
CC_HNX-INDEX,20200709,16086,414731679300,66285737400,15548,111788600,75723200
