<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>,<OI>
NN_VNINDEX,20210802,84320,575155300,21268718,205270,1760553000,2226181000
NN_HNX-INDEX,20210730,84320,106403489,3316098,205270,1760553000,2226181000
NN_HNX-INDEX,20210729,84320,87653506,2469489,205270,1760553000,2226181000
NN_VNINDEX,20210729,84320,434028400,12760762,205270,1760553000,2226181000
NN_HNX-INDEX,20210728,84320,62309412,12494732,205270,1760553000,2226181000
NN_HNX-INDEX,20210727,84320,90311401,4199973,205270,1760553000,2226181000
NN_VNINDEX,20210727,84320,510647200,44418122,205270,1760553000,2226181000
NN_HNX-INDEX,20210726,84320,71614998,3640860,205270,1760553000,2226181000
NN_HNX-INDEX,20210723,84320,86924157,14593633,205270,1760553000,2226181000
NN_VNINDEX,20210723,84320,542390300,0,205270,1760553000,2226181000
NN_HNX-INDEX,20210722,84320,87203705,10151946,205270,1760553000,2226181000
NN_HNX-INDEX,20210721,84320,59507532,2987884,205270,1760553000,2226181000
NN_HNX-INDEX,20210720,84320,92875350,13591575,205270,1760553000,2226181000
NN_HNX-INDEX,20210719,84320,119855183,10273168,205270,1760553000,2226181000
NN_VNINDEX,20210719,84320,661312300,0,205270,1760553000,2226181000
NN_HNX-INDEX,20210716,84320,94988244,2676139,205270,1760553000,2226181000
NN_HNX-INDEX,20210715,84320,94066512,24201579,205270,1760553000,2226181000
NN_VNINDEX,20210715,84320,410860200,0,205270,1760553000,2226181000
NN_HNX-INDEX,20210714,84320,88504504,8076944,205270,1760553000,2226181000
NN_VNINDEX,20210714,84320,537526800,0,205270,1760553000,2226181000
NN_HNX-INDEX,20210713,84320,100819561,31533423,205270,1760553000,2226181000
NN_VNINDEX,20210713,84320,489817300,0,205270,1760553000,2226181000
NN_HNX-INDEX,20210712,84320,183296158,11103326,205270,1760553000,2226181000
NN_HNX-INDEX,20210709,84320,119824697,6249751,205270,1760553000,2226181000
NN_HNX-INDEX,20210708,84320,94603400,45422980,205270,1760553000,2226181000
NN_VNINDEX,20210708,84320,520186100,0,205270,1760553000,2226181000
NN_HNX-INDEX,20210707,84320,145981688,22966275,205270,1760553000,2226181000
NN_VNINDEX,20210707,84320,721213400,0,205270,1760553000,2226181000
NN_HNX-INDEX,20210706,84320,160239441,7283780,205270,1760553000,2226181000
NN_VNINDEX,20210706,84320,762108800,0,205270,1760553000,2226181000
